Weed Name,Soil Type,Growth Stage,Temp (Â°C),Wind Speed (km/h),Rainfall (mm),Humidity (%),Herbicide Name,Application Rate (L/ha),Success Rate (%),,,,Herbicide Name,
Black Nightshade,Sandy,Mature,28,15,1,89,Atrazine,1.4,82,,,,Atrazine,Herbicide Name
Black Nightshade,Sandy,Early,21,12,5,45,Trifluralin,2.6,93,,,,Trifluralin,Atrazine
Cutleaf Nightshade,Clay,Early,38,0,4,83,Glyphosate,2.7,87,,,,Glyphosate,Trifluralin
Cutleaf Nightshade,Clay,Early,23,10,3,61,Trifluralin,2.2,80,,,,Trifluralin,Glyphosate
Hairy Nightshade,Clay,Mature,21,9,10,77,Flumioxazin,1.8,86,,,,Flumioxazin,Flumioxazin
Black Nightshade,Clay,Mature,21,5,4,53,Trifluralin,2.1,88,,,,Trifluralin,Glufosinate
Hairy Nightshade,Loamy,Mature,21,14,7,67,Glyphosate,2.1,73,,,,Glyphosate,Imazapyr
Black Nightshade,Sandy,Early,34,0,3,38,Flumioxazin,1.1,84,,,,Flumioxazin,Pendimethalin
Ground Cherry,Clay,Mature,37,1,5,57,Glufosinate,2.1,71,,,,Glufosinate,Paraquat
Hairy Nightshade,Clay,Mature,22,15,4,87,Imazapyr,1.3,71,,,,Imazapyr,Sulfentrazone
Black Nightshade,Loamy,Early,30,6,3,62,Imazapyr,2.2,79,,,,Imazapyr,Metolachlor
Hairy Nightshade,Sandy,Early,33,4,4,70,Glyphosate,1.1,91,,,,Glyphosate,
Cutleaf Nightshade,Loamy,Early,22,5,6,90,Atrazine,1.3,84,,,,Atrazine,
Cutleaf Nightshade,Sandy,Mature,23,13,1,61,Pendimethalin,1.7,93,,,,Pendimethalin,
Hairy Nightshade,Sandy,Mature,37,15,1,45,Glyphosate,1.2,75,,,,Glyphosate,
Ground Cherry,Sandy,Early,22,12,2,69,Atrazine,2.3,95,,,,Atrazine,
Black Nightshade,Sandy,Early,22,14,9,60,Flumioxazin,1.3,70,,,,Flumioxazin,
Cutleaf Nightshade,Clay,Early,23,10,8,73,Paraquat,1.7,76,,,,Paraquat,
Black Nightshade,Clay,Mature,40,12,1,81,Flumioxazin,1.5,87,,,,Flumioxazin,
Cutleaf Nightshade,Loamy,Mature,29,14,1,77,Flumioxazin,2.2,85,,,,Flumioxazin,
Hairy Nightshade,Loamy,Early,33,13,6,65,Pendimethalin,2.6,84,,,,Pendimethalin,
Hairy Nightshade,Sandy,Mature,39,12,5,66,Flumioxazin,1.3,91,,,,Flumioxazin,
Black Nightshade,Loamy,Early,24,7,9,51,Pendimethalin,1.5,95,,,,Pendimethalin,
Hairy Nightshade,Loamy,Early,25,14,5,31,Paraquat,2.2,78,,,,Paraquat,
Ground Cherry,Clay,Mature,28,13,5,78,Trifluralin,1.6,72,,,,Trifluralin,
Cutleaf Nightshade,Sandy,Early,35,3,5,31,Paraquat,2.4,78,,,,Paraquat,
Black Nightshade,Clay,Early,31,7,9,69,Imazapyr,2.7,95,,,,Imazapyr,
Ground Cherry,Loamy,Mature,33,0,3,62,Paraquat,1.6,95,,,,Paraquat,
Hairy Nightshade,Loamy,Early,20,5,2,60,Sulfentrazone,1.1,71,,,,Sulfentrazone,
Black Nightshade,Sandy,Mature,28,6,0,61,Flumioxazin,2.1,75,,,,Flumioxazin,
Ground Cherry,Sandy,Mature,26,7,5,41,Atrazine,2.8,94,,,,Atrazine,
Black Nightshade,Clay,Mature,22,0,9,89,Imazapyr,1.6,79,,,,Imazapyr,
Cutleaf Nightshade,Sandy,Mature,34,11,9,54,Pendimethalin,2.8,79,,,,Pendimethalin,
Black Nightshade,Sandy,Mature,28,9,10,47,Flumioxazin,1.2,72,,,,Flumioxazin,
Hairy Nightshade,Loamy,Early,28,0,8,88,Flumioxazin,2.4,90,,,,Flumioxazin,
Cutleaf Nightshade,Sandy,Early,21,8,1,70,Flumioxazin,1,82,,,,Flumioxazin,
Ground Cherry,Loamy,Early,39,14,3,64,Paraquat,1.4,85,,,,Paraquat,
Cutleaf Nightshade,Clay,Mature,25,14,7,89,Trifluralin,1.4,88,,,,Trifluralin,
Cutleaf Nightshade,Loamy,Early,33,6,9,58,Sulfentrazone,1.1,81,,,,Sulfentrazone,
Cutleaf Nightshade,Sandy,Early,40,15,4,36,Glufosinate,1.8,72,,,,Glufosinate,
Black Nightshade,Clay,Early,37,13,8,40,Glyphosate,1.9,77,,,,Glyphosate,
Hairy Nightshade,Clay,Early,37,4,1,50,Glufosinate,2.9,86,,,,Glufosinate,
Hairy Nightshade,Loamy,Mature,26,7,5,48,Trifluralin,1.1,82,,,,Trifluralin,
Black Nightshade,Loamy,Early,21,1,3,85,Atrazine,2.5,94,,,,Atrazine,
Hairy Nightshade,Sandy,Early,27,9,9,35,Pendimethalin,1.2,76,,,,Pendimethalin,
Ground Cherry,Loamy,Mature,32,13,5,81,Sulfentrazone,1.3,73,,,,Sulfentrazone,
Ground Cherry,Clay,Mature,37,5,0,75,Glyphosate,2.9,72,,,,Glyphosate,
Black Nightshade,Clay,Early,37,15,9,39,Glyphosate,2.3,70,,,,Glyphosate,
Black Nightshade,Sandy,Mature,21,6,9,81,Glyphosate,1.1,95,,,,Glyphosate,
Ground Cherry,Sandy,Early,28,7,2,82,Imazapyr,1.9,87,,,,Imazapyr,
Hairy Nightshade,Clay,Early,39,5,7,59,Sulfentrazone,1.9,77,,,,Sulfentrazone,
Cutleaf Nightshade,Loamy,Early,31,11,4,41,Atrazine,1.9,83,,,,Atrazine,
Ground Cherry,Sandy,Mature,21,15,2,89,Glufosinate,2.3,81,,,,Glufosinate,
Black Nightshade,Clay,Mature,25,0,7,42,Glyphosate,1.8,93,,,,Glyphosate,
Black Nightshade,Sandy,Mature,39,0,10,62,Sulfentrazone,1.3,93,,,,Sulfentrazone,
Black Nightshade,Loamy,Early,29,10,5,61,Atrazine,2,88,,,,Atrazine,
Black Nightshade,Clay,Mature,21,3,6,74,Paraquat,1.2,93,,,,Paraquat,
Ground Cherry,Sandy,Early,31,3,2,37,Glufosinate,2.7,70,,,,Glufosinate,
Cutleaf Nightshade,Clay,Mature,22,7,2,56,Atrazine,1.6,72,,,,Atrazine,
Ground Cherry,Sandy,Early,23,1,9,72,Glufosinate,1.3,84,,,,Glufosinate,
Cutleaf Nightshade,Clay,Early,20,7,1,82,Pendimethalin,2,74,,,,Pendimethalin,
Cutleaf Nightshade,Clay,Mature,36,5,1,89,Pendimethalin,2.3,95,,,,Pendimethalin,
Black Nightshade,Loamy,Early,23,10,4,35,Imazapyr,1.3,82,,,,Imazapyr,
Ground Cherry,Sandy,Early,23,7,6,46,Sulfentrazone,1.7,86,,,,Sulfentrazone,
Ground Cherry,Loamy,Mature,40,3,6,75,Sulfentrazone,2.6,71,,,,Sulfentrazone,
Hairy Nightshade,Sandy,Mature,23,10,6,87,Flumioxazin,1.4,86,,,,Flumioxazin,
Ground Cherry,Clay,Early,33,2,0,46,Atrazine,2.1,94,,,,Atrazine,
Black Nightshade,Loamy,Mature,21,15,6,61,Imazapyr,1.1,89,,,,Imazapyr,
Ground Cherry,Clay,Mature,20,9,7,89,Metolachlor,1.7,75,,,,Metolachlor,
Black Nightshade,Clay,Mature,40,11,4,36,Glufosinate,2.2,70,,,,Glufosinate,
Black Nightshade,Loamy,Mature,20,5,6,85,Flumioxazin,1.3,77,,,,Flumioxazin,
Cutleaf Nightshade,Loamy,Early,23,1,7,66,Sulfentrazone,2.3,91,,,,Sulfentrazone,
Cutleaf Nightshade,Clay,Early,24,13,7,47,Glyphosate,1.3,94,,,,Glyphosate,
Cutleaf Nightshade,Clay,Mature,25,8,8,79,Metolachlor,2.4,91,,,,Metolachlor,
Hairy Nightshade,Sandy,Early,25,12,2,55,Glyphosate,2.5,73,,,,Glyphosate,
Ground Cherry,Sandy,Early,39,12,0,77,Paraquat,1.8,95,,,,Paraquat,
Cutleaf Nightshade,Clay,Mature,24,15,1,67,Glyphosate,1.2,84,,,,Glyphosate,
Black Nightshade,Loamy,Mature,34,14,0,45,Pendimethalin,2,81,,,,Pendimethalin,
Ground Cherry,Loamy,Early,24,0,0,50,Imazapyr,1.3,74,,,,Imazapyr,
Cutleaf Nightshade,Loamy,Mature,21,7,10,79,Glufosinate,1.8,75,,,,Glufosinate,
Black Nightshade,Clay,Mature,33,14,2,84,Atrazine,1.3,94,,,,Atrazine,
Hairy Nightshade,Loamy,Mature,33,11,3,39,Flumioxazin,1.3,91,,,,Flumioxazin,
Ground Cherry,Sandy,Early,26,4,1,38,Imazapyr,2.6,85,,,,Imazapyr,
Black Nightshade,Loamy,Early,24,8,9,73,Atrazine,3,89,,,,Atrazine,
Black Nightshade,Loamy,Mature,34,6,1,53,Sulfentrazone,1.3,94,,,,Sulfentrazone,
Black Nightshade,Clay,Mature,26,15,8,84,Paraquat,1.5,75,,,,Paraquat,
Cutleaf Nightshade,Sandy,Mature,21,7,4,44,Imazapyr,1.3,95,,,,Imazapyr,
Black Nightshade,Clay,Mature,26,4,3,79,Trifluralin,1.3,94,,,,Trifluralin,
Black Nightshade,Clay,Early,21,10,2,63,Paraquat,1.6,83,,,,Paraquat,
Cutleaf Nightshade,Loamy,Mature,20,14,6,50,Glyphosate,2.5,79,,,,Glyphosate,
Ground Cherry,Sandy,Early,31,12,5,57,Sulfentrazone,2.2,75,,,,Sulfentrazone,
Cutleaf Nightshade,Clay,Early,32,12,2,87,Paraquat,2.8,89,,,,Paraquat,
Hairy Nightshade,Clay,Early,21,3,10,43,Glufosinate,1.4,89,,,,Glufosinate,
Cutleaf Nightshade,Sandy,Early,33,7,7,39,Atrazine,1.4,82,,,,Atrazine,
Black Nightshade,Clay,Mature,27,11,10,56,Sulfentrazone,2.7,74,,,,Sulfentrazone,
Ground Cherry,Loamy,Early,34,9,5,53,Sulfentrazone,2.9,75,,,,Sulfentrazone,
Cutleaf Nightshade,Clay,Early,23,7,0,37,Flumioxazin,2.2,79,,,,Flumioxazin,
Ground Cherry,Sandy,Early,26,5,4,68,Paraquat,1.3,94,,,,Paraquat,
Ground Cherry,Sandy,Mature,37,4,8,83,Atrazine,1.2,79,,,,Atrazine,
Cutleaf Nightshade,Loamy,Early,27,0,4,81,Atrazine,1.5,72,,,,Atrazine,
Hairy Nightshade,Sandy,Early,38,1,9,70,Glyphosate,2.2,90,,,,Glyphosate,
Black Nightshade,Loamy,Early,32,3,0,38,Pendimethalin,1.5,79,,,,Pendimethalin,
Cutleaf Nightshade,Sandy,Early,27,13,0,49,Paraquat,2,95,,,,Paraquat,
Ground Cherry,Clay,Early,33,12,10,69,Sulfentrazone,2.3,84,,,,Sulfentrazone,
Cutleaf Nightshade,Loamy,Early,21,11,7,77,Sulfentrazone,2.5,85,,,,Sulfentrazone,
Ground Cherry,Sandy,Early,20,8,0,78,Flumioxazin,2.9,77,,,,Flumioxazin,
Ground Cherry,Clay,Early,38,5,5,55,Trifluralin,2.9,75,,,,Trifluralin,
Ground Cherry,Sandy,Mature,23,1,3,90,Metolachlor,2.8,84,,,,Metolachlor,
Black Nightshade,Sandy,Early,40,7,9,71,Sulfentrazone,2.3,92,,,,Sulfentrazone,
Ground Cherry,Loamy,Early,30,8,2,67,Trifluralin,2.4,72,,,,Trifluralin,
Hairy Nightshade,Clay,Mature,38,1,8,48,Glufosinate,1.5,85,,,,Glufosinate,
Hairy Nightshade,Clay,Early,33,3,4,37,Sulfentrazone,2.1,92,,,,Sulfentrazone,
Cutleaf Nightshade,Sandy,Mature,20,2,2,59,Pendimethalin,1.8,70,,,,Pendimethalin,
Ground Cherry,Clay,Early,27,4,3,42,Glyphosate,2.2,85,,,,Glyphosate,
Hairy Nightshade,Clay,Mature,28,7,8,79,Sulfentrazone,1.9,87,,,,Sulfentrazone,
Black Nightshade,Sandy,Mature,39,12,4,73,Paraquat,1.1,90,,,,Paraquat,
Black Nightshade,Sandy,Mature,24,5,4,33,Paraquat,2.7,88,,,,Paraquat,
Cutleaf Nightshade,Loamy,Mature,27,11,8,67,Pendimethalin,1.8,73,,,,Pendimethalin,
Ground Cherry,Sandy,Mature,27,14,6,51,Sulfentrazone,3,84,,,,Sulfentrazone,
Cutleaf Nightshade,Loamy,Early,28,7,2,87,Flumioxazin,2,93,,,,Flumioxazin,
Black Nightshade,Loamy,Mature,23,14,8,86,Paraquat,1.7,73,,,,Paraquat,
Cutleaf Nightshade,Sandy,Mature,21,1,2,75,Flumioxazin,1.3,94,,,,Flumioxazin,
Black Nightshade,Sandy,Mature,23,7,3,68,Pendimethalin,2.4,86,,,,Pendimethalin,
Cutleaf Nightshade,Loamy,Early,29,10,8,48,Imazapyr,2.9,88,,,,Imazapyr,
Hairy Nightshade,Sandy,Mature,40,9,4,54,Glufosinate,2.4,95,,,,Glufosinate,
Cutleaf Nightshade,Clay,Mature,30,10,3,85,Trifluralin,2.1,74,,,,Trifluralin,
Hairy Nightshade,Clay,Early,31,2,2,37,Flumioxazin,2.8,85,,,,Flumioxazin,
Hairy Nightshade,Loamy,Early,37,10,3,43,Glyphosate,1.4,85,,,,Glyphosate,
Hairy Nightshade,Clay,Early,32,5,10,36,Pendimethalin,2.4,86,,,,Pendimethalin,
Hairy Nightshade,Clay,Early,37,11,5,50,Glufosinate,2.1,93,,,,Glufosinate,
Cutleaf Nightshade,Clay,Early,22,5,10,70,Atrazine,2.2,94,,,,Atrazine,
Ground Cherry,Clay,Early,31,1,2,64,Atrazine,2.8,75,,,,Atrazine,
Cutleaf Nightshade,Sandy,Mature,26,1,10,61,Metolachlor,1.5,78,,,,Metolachlor,
Black Nightshade,Clay,Early,30,1,10,33,Imazapyr,2.4,74,,,,Imazapyr,
Hairy Nightshade,Clay,Mature,40,6,8,79,Trifluralin,1.7,80,,,,Trifluralin,
Hairy Nightshade,Sandy,Mature,23,5,6,72,Imazapyr,2,82,,,,Imazapyr,
Black Nightshade,Loamy,Mature,25,15,1,70,Imazapyr,1.8,82,,,,Imazapyr,
Cutleaf Nightshade,Sandy,Early,39,14,8,77,Trifluralin,2.9,85,,,,Trifluralin,
Cutleaf Nightshade,Sandy,Mature,27,15,6,61,Sulfentrazone,2.1,76,,,,Sulfentrazone,
Cutleaf Nightshade,Sandy,Early,36,1,6,68,Atrazine,1.9,92,,,,Atrazine,
Cutleaf Nightshade,Clay,Mature,28,5,8,75,Atrazine,2.6,79,,,,Atrazine,
Hairy Nightshade,Clay,Early,34,3,10,71,Glufosinate,1.2,74,,,,Glufosinate,
Cutleaf Nightshade,Clay,Early,36,12,4,44,Flumioxazin,1.4,77,,,,Flumioxazin,
Hairy Nightshade,Loamy,Early,34,1,9,65,Glufosinate,1.2,79,,,,Glufosinate,
Ground Cherry,Loamy,Early,25,8,6,43,Sulfentrazone,2.4,82,,,,Sulfentrazone,
Cutleaf Nightshade,Sandy,Early,37,9,1,84,Flumioxazin,1.8,74,,,,Flumioxazin,
Hairy Nightshade,Sandy,Early,35,10,9,55,Flumioxazin,2.7,75,,,,Flumioxazin,
Cutleaf Nightshade,Loamy,Mature,40,5,1,49,Sulfentrazone,2.8,87,,,,Sulfentrazone,
Cutleaf Nightshade,Loamy,Mature,39,13,2,34,Glyphosate,1.9,75,,,,Glyphosate,
Black Nightshade,Sandy,Mature,21,0,2,86,Glyphosate,2.9,88,,,,Glyphosate,
Cutleaf Nightshade,Loamy,Early,27,1,7,85,Atrazine,2,80,,,,Atrazine,
Hairy Nightshade,Clay,Early,23,15,3,44,Imazapyr,3,89,,,,Imazapyr,
Black Nightshade,Loamy,Mature,24,9,7,38,Pendimethalin,1.7,75,,,,Pendimethalin,
Cutleaf Nightshade,Loamy,Mature,23,6,3,42,Pendimethalin,1.9,89,,,,Pendimethalin,
Ground Cherry,Loamy,Mature,23,5,1,47,Trifluralin,1.1,86,,,,Trifluralin,
Hairy Nightshade,Clay,Early,32,11,4,37,Pendimethalin,1.9,87,,,,Pendimethalin,
Cutleaf Nightshade,Clay,Early,29,12,8,74,Pendimethalin,2.1,85,,,,Pendimethalin,
Hairy Nightshade,Loamy,Mature,36,15,10,78,Atrazine,2.8,93,,,,Atrazine,
Ground Cherry,Clay,Mature,21,2,1,75,Glufosinate,1.5,80,,,,Glufosinate,
Hairy Nightshade,Clay,Early,20,5,6,45,Paraquat,1.4,73,,,,Paraquat,
Ground Cherry,Sandy,Mature,33,8,7,61,Metolachlor,2,81,,,,Metolachlor,
Black Nightshade,Clay,Early,37,10,7,49,Trifluralin,2.7,80,,,,Trifluralin,
Black Nightshade,Clay,Early,33,2,4,51,Glufosinate,2.2,75,,,,Glufosinate,
Cutleaf Nightshade,Clay,Mature,35,6,5,67,Paraquat,1.9,88,,,,Paraquat,
Hairy Nightshade,Loamy,Early,28,11,6,84,Pendimethalin,2.6,83,,,,Pendimethalin,
Black Nightshade,Sandy,Early,22,10,3,53,Flumioxazin,2.2,84,,,,Flumioxazin,
Black Nightshade,Sandy,Mature,32,10,5,78,Glufosinate,2.7,73,,,,Glufosinate,
Black Nightshade,Clay,Early,22,6,5,30,Glyphosate,2.8,84,,,,Glyphosate,
Ground Cherry,Clay,Mature,35,3,0,31,Glyphosate,2.9,77,,,,Glyphosate,
Ground Cherry,Loamy,Mature,33,8,2,55,Flumioxazin,2.5,88,,,,Flumioxazin,
Black Nightshade,Loamy,Early,40,9,3,45,Glyphosate,1.2,89,,,,Glyphosate,
Hairy Nightshade,Sandy,Mature,40,4,9,64,Glufosinate,2.5,93,,,,Glufosinate,
Cutleaf Nightshade,Sandy,Early,24,8,9,42,Imazapyr,2.4,74,,,,Imazapyr,
Hairy Nightshade,Sandy,Mature,23,10,4,66,Flumioxazin,1.9,85,,,,Flumioxazin,
Ground Cherry,Loamy,Early,24,11,4,80,Glyphosate,1.3,73,,,,Glyphosate,
Cutleaf Nightshade,Sandy,Early,30,1,0,70,Paraquat,1.9,79,,,,Paraquat,
Hairy Nightshade,Sandy,Mature,34,7,10,45,Glufosinate,2.3,74,,,,Glufosinate,
Cutleaf Nightshade,Clay,Early,28,7,10,32,Sulfentrazone,2.9,82,,,,Sulfentrazone,
Cutleaf Nightshade,Sandy,Mature,33,7,6,80,Paraquat,2.4,92,,,,Paraquat,
Ground Cherry,Sandy,Early,20,8,2,39,Trifluralin,1.3,76,,,,Trifluralin,
Black Nightshade,Clay,Mature,33,8,5,57,Metolachlor,2.3,70,,,,Metolachlor,
Hairy Nightshade,Sandy,Early,26,4,0,31,Pendimethalin,2.7,79,,,,Pendimethalin,
Cutleaf Nightshade,Sandy,Early,37,8,1,65,Metolachlor,1.5,90,,,,Metolachlor,
Black Nightshade,Sandy,Mature,36,1,5,72,Trifluralin,1.9,95,,,,Trifluralin,
Cutleaf Nightshade,Loamy,Early,26,11,2,90,Sulfentrazone,2.5,73,,,,Sulfentrazone,
Cutleaf Nightshade,Clay,Early,31,15,10,52,Pendimethalin,2.4,71,,,,Pendimethalin,
Hairy Nightshade,Sandy,Early,30,13,7,32,Trifluralin,2.3,94,,,,Trifluralin,
Hairy Nightshade,Clay,Early,22,15,8,36,Imazapyr,1.1,82,,,,Imazapyr,
Black Nightshade,Sandy,Early,29,7,8,42,Sulfentrazone,1.6,81,,,,Sulfentrazone,
Cutleaf Nightshade,Sandy,Mature,33,12,9,32,Trifluralin,1.1,91,,,,Trifluralin,
Cutleaf Nightshade,Sandy,Mature,22,11,9,46,Metolachlor,2.8,83,,,,Metolachlor,
Hairy Nightshade,Clay,Early,28,9,0,84,Atrazine,2,85,,,,Atrazine,
Hairy Nightshade,Clay,Mature,36,8,8,71,Sulfentrazone,2,94,,,,Sulfentrazone,
Black Nightshade,Loamy,Mature,23,12,4,69,Trifluralin,2.4,95,,,,Trifluralin,
Ground Cherry,Sandy,Mature,22,13,4,80,Trifluralin,2.5,92,,,,Trifluralin,
Black Nightshade,Clay,Mature,24,4,9,51,Flumioxazin,1,82,,,,Flumioxazin,
Ground Cherry,Clay,Early,27,13,7,54,Pendimethalin,1.1,72,,,,Pendimethalin,
Cutleaf Nightshade,Sandy,Early,20,10,10,58,Paraquat,1.2,78,,,,Paraquat,
Hairy Nightshade,Loamy,Mature,34,7,0,75,Pendimethalin,1.7,90,,,,Pendimethalin,
Cutleaf Nightshade,Clay,Early,33,1,4,57,Pendimethalin,2,76,,,,Pendimethalin,
Hairy Nightshade,Sandy,Early,34,13,6,58,Sulfentrazone,1.2,81,,,,Sulfentrazone,
Ground Cherry,Clay,Early,39,12,4,50,Pendimethalin,1.3,80,,,,Pendimethalin,
Cutleaf Nightshade,Clay,Mature,20,2,3,76,Glufosinate,2.7,90,,,,Glufosinate,
Hairy Nightshade,Clay,Mature,35,15,2,57,Glyphosate,1.3,75,,,,Glyphosate,
Ground Cherry,Loamy,Mature,33,3,5,58,Pendimethalin,2.7,85,,,,Pendimethalin,
Black Nightshade,Loamy,Early,35,0,3,32,Glufosinate,2.5,84,,,,Glufosinate,
Ground Cherry,Clay,Early,31,13,8,36,Sulfentrazone,1.9,76,,,,Sulfentrazone,
Ground Cherry,Sandy,Early,26,11,8,52,Paraquat,2.4,71,,,,Paraquat,
Black Nightshade,Sandy,Mature,23,3,2,74,Glyphosate,1.7,71,,,,Glyphosate,
Hairy Nightshade,Clay,Early,24,12,5,36,Pendimethalin,1.7,93,,,,Pendimethalin,
Ground Cherry,Clay,Early,25,10,0,34,Trifluralin,2.4,89,,,,Trifluralin,
Black Nightshade,Clay,Early,23,10,9,89,Glyphosate,1.6,93,,,,Glyphosate,
Black Nightshade,Clay,Mature,25,12,4,67,Pendimethalin,2.4,93,,,,Pendimethalin,
Cutleaf Nightshade,Loamy,Mature,35,5,4,75,Atrazine,2.7,81,,,,Atrazine,
Hairy Nightshade,Clay,Early,32,5,5,85,Sulfentrazone,1.3,86,,,,Sulfentrazone,
Ground Cherry,Loamy,Early,33,11,7,82,Glufosinate,1.9,77,,,,Glufosinate,
Black Nightshade,Clay,Early,23,4,6,44,Flumioxazin,1.8,89,,,,Flumioxazin,
Cutleaf Nightshade,Clay,Mature,28,13,3,81,Imazapyr,2.3,86,,,,Imazapyr,
Cutleaf Nightshade,Sandy,Mature,30,14,3,48,Glyphosate,1.1,71,,,,Glyphosate,
Hairy Nightshade,Loamy,Mature,29,10,9,84,Sulfentrazone,1.1,89,,,,Sulfentrazone,
Black Nightshade,Loamy,Early,38,13,10,46,Glyphosate,1.9,74,,,,Glyphosate,
Ground Cherry,Clay,Early,31,9,4,64,Sulfentrazone,1.3,79,,,,Sulfentrazone,
Ground Cherry,Sandy,Early,34,9,5,36,Glyphosate,2.8,71,,,,Glyphosate,
Cutleaf Nightshade,Clay,Early,36,0,9,63,Metolachlor,1.4,83,,,,Metolachlor,
Hairy Nightshade,Loamy,Early,21,14,7,90,Paraquat,2.2,91,,,,Paraquat,
Black Nightshade,Sandy,Mature,29,7,10,42,Atrazine,2.2,80,,,,Atrazine,
Cutleaf Nightshade,Clay,Mature,33,7,5,62,Paraquat,1.5,90,,,,Paraquat,
Black Nightshade,Loamy,Mature,28,13,8,33,Imazapyr,1.1,76,,,,Imazapyr,
Black Nightshade,Loamy,Early,26,10,9,77,Glyphosate,2.3,89,,,,Glyphosate,
Black Nightshade,Loamy,Mature,32,8,1,70,Glufosinate,1.2,76,,,,Glufosinate,
Black Nightshade,Sandy,Mature,30,6,6,73,Paraquat,2.9,83,,,,Paraquat,
Hairy Nightshade,Loamy,Mature,25,11,10,37,Atrazine,1,95,,,,Atrazine,
Cutleaf Nightshade,Loamy,Mature,26,10,3,38,Glufosinate,1.5,83,,,,Glufosinate,
Black Nightshade,Clay,Early,24,8,8,84,Trifluralin,1.6,75,,,,Trifluralin,
Ground Cherry,Sandy,Early,23,3,1,53,Metolachlor,2.8,86,,,,Metolachlor,
Black Nightshade,Clay,Mature,22,13,0,69,Pendimethalin,2.3,89,,,,Pendimethalin,
Cutleaf Nightshade,Loamy,Mature,25,5,1,53,Glufosinate,2.9,90,,,,Glufosinate,
Cutleaf Nightshade,Clay,Mature,24,9,2,66,Atrazine,1.1,75,,,,Atrazine,
Cutleaf Nightshade,Loamy,Early,21,9,8,30,Atrazine,2.1,74,,,,Atrazine,
Hairy Nightshade,Clay,Early,27,5,6,78,Metolachlor,2.2,87,,,,Metolachlor,
Hairy Nightshade,Clay,Mature,38,6,6,50,Sulfentrazone,2.2,83,,,,Sulfentrazone,
Ground Cherry,Clay,Mature,38,4,9,88,Flumioxazin,1.8,74,,,,Flumioxazin,
Hairy Nightshade,Loamy,Early,37,7,2,56,Pendimethalin,1.4,83,,,,Pendimethalin,
Black Nightshade,Sandy,Early,38,10,4,88,Sulfentrazone,2.3,94,,,,Sulfentrazone,
Hairy Nightshade,Sandy,Mature,23,1,9,68,Trifluralin,1,76,,,,Trifluralin,
Hairy Nightshade,Sandy,Mature,29,1,3,41,Glyphosate,2.5,78,,,,Glyphosate,
